;Description of the points/area;index_1;side_1;index_2;side_2;calculate;;
1;;1076;left;1122;right;angle;;0
2;;1076;left;1123;right;angle;;1
3;;1076;left;1124;right;angle;;2
4;;1076;left;1142;right;angle;;3
5;;1076;left;1143;right;angle;;4
6;;1077;left;1122;right;angle;;5
7;;1077;left;1123;right;angle;;6
8;;1077;left;1124;right;angle;;7
9;;1077;left;1142;right;angle;;8
10;;1077;left;1143;right;angle;;9
11;;1098;left;1123;right;angle;;10
12;;1099;left;1122;right;angle;;11
13;left mouth corner and left eye outer corner;1099;left;1123;left;distance;;12
14;;1116;left;1122;left;distance;;13
15;;1116;left;1124;left;distance;;14
16;;1117;left;1122;left;distance;;15
17;;1117;left;1124;left;distance;;16
