;Description of the points/area;index_1;side_1;index_2;side_2;calculate;;
0;left and right corner of mouth;291;left;146;right;angle;;
1;;291;left;183;right;angle;;
2;;291;left;185;right;angle;;
3;;308;left;146;right;angle;;
4;;308;left;183;right;angle;;
5;;308;left;185;right;angle;;
6;;375;left;146;right;angle;;
7;;375;left;183;right;angle;;
8;;375;left;185;right;angle;;
9;left mouth corner and left eye outer corner;291;left;466;left;distance;;
10;;291;left;249;left;distance;;mouth-eye
11;;291;left;263;left;distance;;
12;;308;left;466;left;distance;;
13;;308;left;249;left;distance;;
14;;308;left;263;left;distance;;
15;;375;left;466;left;distance;;
16;;375;left;249;left;distance;;
17;;375;left;263;left;distance;;
18;right mouth corner and right eye outer corner;146;right;246;right;distance;;
19;;183;right;246;right;distance;;
20;;185;right;246;right;distance;;
21;;146;right;163;right;distance;;
22;;183;right;163;right;distance;;
23;;185;right;163;right;distance;;
24;;146;right;33;right;distance;;
25;;183;right;33;right;distance;;
26;;185;right;33;right;distance;;
27;left mouth corner and left eye inner corner;291;left;362;left;distance;;
28;;291;left;382;left;distance;;
29;;291;left;398;left;distance;;
30;;308;left;362;left;distance;;
31;;308;left;382;left;distance;;
32;;308;left;398;left;distance;;
33;;375;left;362;left;distance;;
34;;375;left;382;left;distance;;
35;;375;left;398;left;distance;;
36;right mouth corner and right eye inner corner;146;right;133;right;distance;;
37;;183;right;133;right;distance;;
38;;185;right;133;right;distance;;
39;;146;right;155;right;distance;;
40;;183;right;155;right;distance;;
41;;185;right;155;right;distance;;
42;;146;right;173;right;distance;;
43;;183;right;173;right;distance;;
44;;185;right;173;right;distance;;
